zone,lat,long,crimeRank,educationRank,employmentRank,geographicAccessRank,healthRank,housingRank,incomeRank,rank
http://statistics.data.gov.uk/id/statistical-geography/S01000051,57.1294,-2.15514,5469,6253,6369,1750,5634,6210,6375,6245
http://statistics.data.gov.uk/id/statistical-geography/S01000052,57.13019,-2.08555,1429,687,1272,3404,217,1457,686,700
http://statistics.data.gov.uk/id/statistical-geography/S01000053,57.13044,-2.11594,4011,5286,5902,3794,2250,4248,4476,4991
http://statistics.data.gov.uk/id/statistical-geography/S01000054,57.13023,-2.14601,5864,6297,6479,2984,3472,6122,5962,6071
http://statistics.data.gov.uk/id/statistical-geography/S01000055,57.13109,-2.08621,742,1058,1396,5342,644,1794,1047,1103
http://statistics.data.gov.uk/id/statistical-geography/S01000056,57.12184,-2.19075,4058,6260,5987,772,5563,5969,6247,5629
http://statistics.data.gov.uk/id/statistical-geography/S01000057,57.13154,-2.07944,240,325,1197,4392,1223,1079,803,784
http://statistics.data.gov.uk/id/statistical-geography/S01000058,57.13114,-2.13247,4450,6145,6210,2385,5151,6266,6213,6181
http://statistics.data.gov.uk/id/statistical-geography/S01000059,57.13466,-2.10097,2900,6371,6267,1940,5783,5960,6424,6141
http://statistics.data.gov.uk/id/statistical-geography/S01000060,57.13451,-2.07416,226,284,269,2618,357,1676,340,221
http://statistics.data.gov.uk/id/statistical-geography/S01000061,57.1333,-2.15456,4544,6303,6385,1799,5862,6273,6358,6244
http://statistics.data.gov.uk/id/statistical-geography/S01000062,57.1334,-2.11893,3356,6086,6146,4048,5772,1799,5778,6179
http://statistics.data.gov.uk/id/statistical-geography/S01000063,57.13321,-2.12504,4860,6202,6317,3309,5163,5102,6263,6340
http://statistics.data.gov.uk/id/statistical-geography/S01000064,57.13256,-2.08744,1352,3834,4162,5752,4184,2057,3863,4322
http://statistics.data.gov.uk/id/statistical-geography/S01000065,57.1326,-2.11331,3117,4151,3893,4130,3704,2087,4483,4475
http://statistics.data.gov.uk/id/statistical-geography/S01000066,57.13405,-2.09233,57,1681,2352,5975,860,553,3727,1971
http://statistics.data.gov.uk/id/statistical-geography/S01000067,57.13446,-2.13942,5220,6157,5401,5017,3732,5301,5369,5885
http://statistics.data.gov.uk/id/statistical-geography/S01000068,57.1344,-2.10555,4933,6225,6324,2920,3866,4702,5624,5945
http://statistics.data.gov.uk/id/statistical-geography/S01000069,57.13473,-2.08487,539,1014,1647,5415,801,940,1495,1290
http://statistics.data.gov.uk/id/statistical-geography/S01000070,57.13496,-2.0768,977,1895,2075,4188,2535,1795,1920,2059
http://statistics.data.gov.uk/id/statistical-geography/S01000071,57.1347,-2.08008,1022,1183,1404,4340,387,1221,1223,1079
http://statistics.data.gov.uk/id/statistical-geography/S01000072,57.14335,-2.17476,2133,4806,4037,761,3033,4797,4053,3608
http://statistics.data.gov.uk/id/statistical-geography/S01000073,57.13436,-2.14702,5806,6251,6042,4539,5538,6272,5752,6394
http://statistics.data.gov.uk/id/statistical-geography/S01000074,57.13487,-2.06987,964,393,789,1739,267,1199,1003,571
http://statistics.data.gov.uk/id/statistical-geography/S01000075,57.13565,-2.11216,1399,4222,5512,5547,5606,2310,5375,5526
http://statistics.data.gov.uk/id/statistical-geography/S01000076,57.13533,-2.16271,5434,6417,6355,1243,6305,6418,6353,6182
http://statistics.data.gov.uk/id/statistical-geography/S01000077,57.13655,-2.12821,4427,6440,5469,3191,5173,4738,6106,6103
http://statistics.data.gov.uk/id/statistical-geography/S01000078,57.13648,-2.08969,369,2812,1964,6447,530,348,2782,1818
http://statistics.data.gov.uk/id/statistical-geography/S01000079,57.13671,-2.09991,3572,5930,6444,3369,4771,2448,6399,6197
http://statistics.data.gov.uk/id/statistical-geography/S01000080,57.13717,-2.11709,2604,5441,5874,5735,4008,1314,4887,5541
http://statistics.data.gov.uk/id/statistical-geography/S01000081,57.13644,-2.13397,4129,6325,6392,3504,5645,5843,6418,6424
http://statistics.data.gov.uk/id/statistical-geography/S01000082,57.13766,-2.07037,409,696,2138,2495,340,1504,1460,1063
http://statistics.data.gov.uk/id/statistical-geography/S01000083,57.13843,-2.12407,4572,6221,6209,5003,5358,3021,6431,6441
http://statistics.data.gov.uk/id/statistical-geography/S01000084,57.13691,-2.08224,131,726,1420,5720,263,638,2401,1095
http://statistics.data.gov.uk/id/statistical-geography/S01000085,57.13898,-2.11283,2190,2337,4453,6006,2872,398,4763,4082
http://statistics.data.gov.uk/id/statistical-geography/S01000086,57.1379,-2.10473,2206,5370,6271,4134,4858,3489,5991,6003
http://statistics.data.gov.uk/id/statistical-geography/S01000087,57.13777,-2.14753,4093,5965,6453,3118,5381,5647,6300,6320
http://statistics.data.gov.uk/id/statistical-geography/S01000088,57.13901,-2.11032,3799,4915,5916,5356,5161,3358,5362,5993
http://statistics.data.gov.uk/id/statistical-geography/S01000089,57.13812,-2.15975,5114,6403,6474,1389,5977,6259,6437,6219
http://statistics.data.gov.uk/id/statistical-geography/S01000090,57.13993,-2.127,2960,6294,6428,4857,5290,2595,5904,6296
http://statistics.data.gov.uk/id/statistical-geography/S01000091,57.13994,-2.11961,2126,4017,4699,5875,2497,776,4625,4453
http://statistics.data.gov.uk/id/statistical-geography/S01000092,57.14019,-2.11556,1656,4526,5887,6159,5470,920,5606,5727
http://statistics.data.gov.uk/id/statistical-geography/S01000093,57.14015,-2.10325,2075,3970,4063,5014,3823,878,4461,4405
http://statistics.data.gov.uk/id/statistical-geography/S01000094,57.14095,-2.11102,1106,3366,5802,6255,5419,1656,5496,5400
http://statistics.data.gov.uk/id/statistical-geography/S01000095,57.14108,-2.12315,3699,5968,6281,6304,6117,2102,5806,6413
http://statistics.data.gov.uk/id/statistical-geography/S01000096,57.14314,-2.16787,2585,3341,1309,1958,1305,2471,2227,1793
http://statistics.data.gov.uk/id/statistical-geography/S01000097,57.14381,-2.13284,3361,6073,6489,3920,5754,5397,6440,6428
http://statistics.data.gov.uk/id/statistical-geography/S01000098,57.14267,-2.10095,19,2376,2207,5639,425,584,3245,1703
http://statistics.data.gov.uk/id/statistical-geography/S01000099,57.14369,-2.15494,5032,5966,6411,2333,5956,6444,6400,6341
http://statistics.data.gov.uk/id/statistical-geography/S01000100,57.14239,-2.10739,23,4029,3678,5937,892,2110,3672,2693
http://statistics.data.gov.uk/id/statistical-geography/S01000101,57.14516,-2.12227,253,6209,6387,5787,5627,3560,6381,5991
http://statistics.data.gov.uk/id/statistical-geography/S01000102,57.14543,-2.11161,113,2204,1822,6350,1038,1129,2461,1760
http://statistics.data.gov.uk/id/statistical-geography/S01000103,57.14508,-2.11302,1044,5439,6466,6431,6217,828,6335,6201
http://statistics.data.gov.uk/id/statistical-geography/S01000104,57.14553,-2.14053,5061,6450,6484,2102,5283,6315,6487,6302
http://statistics.data.gov.uk/id/statistical-geography/S01000105,57.14606,-2.16574,4165,5678,5875,1408,5137,5760,6377,5784
http://statistics.data.gov.uk/id/statistical-geography/S01000106,57.14533,-2.13186,4752,6500,6482,2914,5967,5750,6419,6439
http://statistics.data.gov.uk/id/statistical-geography/S01000107,57.14734,-2.0943,5,2526,3806,6057,2789,546,3998,3020
http://statistics.data.gov.uk/id/statistical-geography/S01000108,57.14702,-2.08767,235,2088,3020,3437,1287,753,2672,2112
http://statistics.data.gov.uk/id/statistical-geography/S01000109,57.14751,-2.10707,2,3824,4055,6079,1771,393,4602,3183
http://statistics.data.gov.uk/id/statistical-geography/S01000110,57.14725,-2.15596,4055,3371,4941,2950,2440,4308,4037,4189
http://statistics.data.gov.uk/id/statistical-geography/S01000111,57.14761,-2.12342,2921,6167,5988,5194,4547,4644,6142,6241
http://statistics.data.gov.uk/id/statistical-geography/S01000112,57.14805,-2.11269,754,2168,3143,6109,2326,882,3423,2947
http://statistics.data.gov.uk/id/statistical-geography/S01000113,57.14802,-2.12793,4716,6495,6363,5022,6263,5693,6158,6490
http://statistics.data.gov.uk/id/statistical-geography/S01000114,57.14951,-2.17269,1279,1593,2239,2320,2464,2102,2421,2113
http://statistics.data.gov.uk/id/statistical-geography/S01000115,57.1497,-2.15964,2673,2627,2225,4339,2050,1601,2396,2434
http://statistics.data.gov.uk/id/statistical-geography/S01000116,57.14903,-2.11881,3205,4433,6171,6176,6285,521,6027,6142
http://statistics.data.gov.uk/id/statistical-geography/S01000117,57.14866,-2.13253,5135,6472,6315,4249,2352,5629,5019,5618
http://statistics.data.gov.uk/id/statistical-geography/S01000118,57.15097,-2.15419,1207,3060,3273,5346,1762,2142,3768,3216
http://statistics.data.gov.uk/id/statistical-geography/S01000119,57.14944,-2.11334,787,2341,2242,6333,1342,479,2563,2176
http://statistics.data.gov.uk/id/statistical-geography/S01000120,57.14894,-2.12179,2245,6238,5886,5055,5338,1480,4837,5764
http://statistics.data.gov.uk/id/statistical-geography/S01000121,57.15053,-2.14493,4990,4886,2712,3592,2482,4333,4021,3799
http://statistics.data.gov.uk/id/statistical-geography/S01000122,57.1504,-2.1765,1248,1829,1899,2109,1086,2447,2667,1824
http://statistics.data.gov.uk/id/statistical-geography/S01000123,57.14992,-2.2191,5002,5591,5754,1268,5288,5381,6185,5693
http://statistics.data.gov.uk/id/statistical-geography/S01000124,57.15013,-2.10938,1507,3675,5194,6221,3749,278,5112,4827
http://statistics.data.gov.uk/id/statistical-geography/S01000125,57.15218,-2.09851,504,1661,3537,5819,1718,881,2744,2496
http://statistics.data.gov.uk/id/statistical-geography/S01000126,57.15112,-2.09221,300,2245,2170,5519,521,577,1813,1550
http://statistics.data.gov.uk/id/statistical-geography/S01000127,57.15081,-2.13369,4628,6346,6386,4520,6088,6321,6426,6489
http://statistics.data.gov.uk/id/statistical-geography/S01000128,57.15072,-2.10446,666,4299,5153,6149,4581,286,5291,4921
http://statistics.data.gov.uk/id/statistical-geography/S01000129,57.15158,-2.10289,1329,2809,6424,6078,6231,390,6436,5660
http://statistics.data.gov.uk/id/statistical-geography/S01000130,57.15256,-2.09122,1072,2317,3532,5479,1876,631,4467,3260
http://statistics.data.gov.uk/id/statistical-geography/S01000131,57.15064,-2.12444,2919,5757,6152,4334,5132,2013,6063,6130
http://statistics.data.gov.uk/id/statistical-geography/S01000132,57.15137,-2.117,2463,5304,4825,5548,4249,1225,4949,5229
http://statistics.data.gov.uk/id/statistical-geography/S01000133,57.15139,-2.17601,1361,2609,2171,3209,1760,1928,1940,2068
http://statistics.data.gov.uk/id/statistical-geography/S01000134,57.15284,-2.16725,1089,990,1460,4816,806,1476,1291,1223
http://statistics.data.gov.uk/id/statistical-geography/S01000135,57.15347,-2.10312,804,1133,839,6353,1282,726,1135,1086
http://statistics.data.gov.uk/id/statistical-geography/S01000136,57.1541,-2.1623,355,686,2235,6398,341,1724,2151,1343
http://statistics.data.gov.uk/id/statistical-geography/S01000137,57.15236,-2.11353,1130,3555,4103,6134,2665,1280,3571,3791
http://statistics.data.gov.uk/id/statistical-geography/S01000138,57.15308,-2.0957,743,4547,4947,5593,2637,562,5313,4547
http://statistics.data.gov.uk/id/statistical-geography/S01000139,57.15427,-2.17338,2636,2699,2469,4386,1861,1265,2789,2645
http://statistics.data.gov.uk/id/statistical-geography/S01000140,57.15408,-2.18148,2451,1883,3430,1587,1299,2283,3476,2546
http://statistics.data.gov.uk/id/statistical-geography/S01000141,57.15324,-2.13172,685,5996,6054,4071,4234,4106,5819,5576
http://statistics.data.gov.uk/id/statistical-geography/S01000142,57.15376,-2.15205,1865,655,1044,5494,449,870,1008,883
http://statistics.data.gov.uk/id/statistical-geography/S01000143,57.15437,-2.22164,5407,6307,6459,2594,6188,6433,6307,6422
http://statistics.data.gov.uk/id/statistical-geography/S01000144,57.15498,-2.09222,1320,3548,5118,5640,4519,176,5455,4900
http://statistics.data.gov.uk/id/statistical-geography/S01000145,57.15552,-2.17801,1276,1362,1411,2330,412,3301,1446,1146
http://statistics.data.gov.uk/id/statistical-geography/S01000146,57.15569,-2.10908,1243,1948,2206,6302,348,240,3100,1838
http://statistics.data.gov.uk/id/statistical-geography/S01000147,57.15507,-2.08924,1096,2132,3545,6051,1878,347,4300,3187
http://statistics.data.gov.uk/id/statistical-geography/S01000148,57.1558,-2.16743,507,2000,514,5979,338,931,1582,888
http://statistics.data.gov.uk/id/statistical-geography/S01000149,57.15668,-2.10644,1217,2287,4163,6257,2130,453,3663,3335
http://statistics.data.gov.uk/id/statistical-geography/S01000150,57.15501,-2.15569,1790,1991,2745,6317,2087,1839,2756,2710
http://statistics.data.gov.uk/id/statistical-geography/S01000151,57.15646,-2.14793,2117,1906,1979,3607,701,1970,1685,1633
http://statistics.data.gov.uk/id/statistical-geography/S01000152,57.15819,-2.11835,1158,4933,3314,5095,3258,3609,4585,4195
